id	date	link	fragment	page	annotator	notes	transcription	translation	c1	c2
https://augusti.freizo.org/iiif/anno/47dac372-93bb-578e-a06a-acce49c16ffe/a7	2021-10-21T11:36:29.946Z	https://augusti.freizo.org/m/book.cgi?catno=10038&canvas=https://www.e-codices.unifr.ch/metadata/iiif/bbb-0120-2/canvas/bbb-0120-2_0095r.json	https://iiif.augusti.freizo.org/image/bbb-0120-2_0095r.jp2/1718,3571,1452,686/pct:50/0/default.jpg	0095r	Lucas Burkart	unklares Zeichen			Review	
https://augusti.freizo.org/iiif/anno/47dac372-93bb-578e-a06a-acce49c16ffe/a0	2021-08-08T17:03:02.443Z	https://augusti.freizo.org/m/book.cgi?catno=10038&canvas=https://www.e-codices.unifr.ch/metadata/iiif/bbb-0120-2/canvas/bbb-0120-2_0095r.json	https://iiif.augusti.freizo.org/image/bbb-0120-2_0095r.jp2/1683,1046,1395,296/pct:50/0/default.jpg	0095r	Jakob Weber	Aeneis, v. 1; Georgica II, v. 490	Arma virumque capo Troie qui primus ab horis / Felix qui potuit rerum cognoscere causas	Waffentat künde ich und den Mann, der als erster von Troja / Selig, wer es vermochte, das Wesen der Welt zu ergründen	Text	
https://augusti.freizo.org/iiif/anno/47dac372-93bb-578e-a06a-acce49c16ffe/a2	2021-08-08T17:03:22.770Z	https://augusti.freizo.org/m/book.cgi?catno=10038&canvas=https://www.e-codices.unifr.ch/metadata/iiif/bbb-0120-2/canvas/bbb-0120-2_0095r.json	https://iiif.augusti.freizo.org/image/bbb-0120-2_0095r.jp2/293,847,482,199/pct:50/0/default.jpg	0095r	Jakob Weber		vergilius	Vergil	Bildannotation	
https://augusti.freizo.org/iiif/anno/47dac372-93bb-578e-a06a-acce49c16ffe/a3	2021-07-28T17:50:02.784Z	https://augusti.freizo.org/m/book.cgi?catno=10038&canvas=https://www.e-codices.unifr.ch/metadata/iiif/bbb-0120-2/canvas/bbb-0120-2_0095r.json	https://iiif.augusti.freizo.org/image/bbb-0120-2_0095r.jp2/410,2717,463,223/pct:50/0/default.jpg	0095r	Jakob Weber		lucanus	Lucan	Bildannotation	
https://augusti.freizo.org/iiif/anno/47dac372-93bb-578e-a06a-acce49c16ffe/a1	2021-09-16T07:48:52.336Z	https://augusti.freizo.org/m/book.cgi?catno=10038&canvas=https://www.e-codices.unifr.ch/metadata/iiif/bbb-0120-2/canvas/bbb-0120-2_0095r.json	https://iiif.augusti.freizo.org/image/bbb-0120-2_0095r.jp2/1644,2749,1558,440/pct:50/0/default.jpg	0095r	Jakob Weber	Bellum civile, v. 1; Disticha Catonis II, Prol.5	Bella per Emathios plus quam civilia canpos / Lucanum queras, qui Martis prelia dicet	Dem Bürgerkrieg im Gefilde von Emathia, der mehr war als nur Bürgerkrieg / Lucan befrage, der Kämpfe des Mars erzählt	Text	
https://augusti.freizo.org/iiif/anno/47dac372-93bb-578e-a06a-acce49c16ffe/a5	2021-07-28T17:50:07.576Z	https://augusti.freizo.org/m/book.cgi?catno=10038&canvas=https://www.e-codices.unifr.ch/metadata/iiif/bbb-0120-2/canvas/bbb-0120-2_0095r.json	https://iiif.augusti.freizo.org/image/bbb-0120-2_0095r.jp2/407,4774,417,135/pct:50/0/default.jpg	0095r	Jakob Weber		ovidius	Ovid	Bildannotation	
https://augusti.freizo.org/iiif/anno/47dac372-93bb-578e-a06a-acce49c16ffe/a4	2021-08-08T17:05:38.317Z	https://augusti.freizo.org/m/book.cgi?catno=10038&canvas=https://www.e-codices.unifr.ch/metadata/iiif/bbb-0120-2/canvas/bbb-0120-2_0095r.json	https://iiif.augusti.freizo.org/image/bbb-0120-2_0095r.jp2/1640,4710,1543,448/pct:50/0/default.jpg	0095r	Jakob Weber	Metamorphosen, v. 1; Ars amatoria III, v. 653	In nova fert animus mutatas dicere formas [corpora] / Munera, crede mihi, capiunt hominesque deosque	Von den Gestalten zu künden, die einst sich gewandelt in neue [Körper], so treibt mich der Geist / Glaube mir nur, Geschenke erobern Menschen und Götter	Text	
https://augusti.freizo.org/iiif/anno/47dac372-93bb-578e-a06a-acce49c16ffe/a6	2021-08-08T17:07:08.696Z	https://augusti.freizo.org/m/book.cgi?catno=10038&canvas=https://www.e-codices.unifr.ch/metadata/iiif/bbb-0120-2/canvas/bbb-0120-2_0095r.json	https://iiif.augusti.freizo.org/image/bbb-0120-2_0095r.jp2/1567,6230,1942,512/pct:50/0/default.jpg	0095r	Jakob Weber	Besitzeintrag, 14. Jhd., Cölestiner Kloster in Sens, Burgund	Celestinorum Sеnonensium		Textannotation	
https://augusti.freizo.org/iiif/anno/47dac372-93bb-578e-a06a-acce49c16ffe/a8	2021-10-31T15:00:38.082Z	https://augusti.freizo.org/m/book.cgi?catno=10038&canvas=https://www.e-codices.unifr.ch/metadata/iiif/bbb-0120-2/canvas/bbb-0120-2_0095r.json	https://iiif.augusti.freizo.org/image/bbb-0120-2_0095r.jp2/858,838,344,291/pct:50/0/default.jpg	0095r	Lucas Burkart	Kopf			Prototyp	
https://augusti.freizo.org/iiif/anno/47dac372-93bb-578e-a06a-acce49c16ffe/a9	2021-10-31T15:01:17.111Z	https://augusti.freizo.org/m/book.cgi?catno=10038&canvas=https://www.e-codices.unifr.ch/metadata/iiif/bbb-0120-2/canvas/bbb-0120-2_0095r.json	https://iiif.augusti.freizo.org/image/bbb-0120-2_0095r.jp2/868,2733,342,452/pct:50/0/default.jpg	0095r	Lucas Burkart	Kopf			Prototyp	
